conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment_label
1836426024084463903,Thu Sep 19 23:59:46 +0000 2024,0,@patriciaewelch @firasshams1 @DrJillStein Then you haven't been looking very hard. Done right a #Green energy transition will be an enormous boost to any economy. And Greens have been working on that as long as #ClimateChange has been nipping at humanity's heels. #SteinWare2024 #goGreen https://t.co/N2IbnjpfKS,1836918137469472957,,patriciaewelch,en,Haldimand Tract 🌎 🇨🇦 🍉🎃“”,0,0,0,https://x.com/laurelrusswurm/status/1836918137469472957,69899423,laurelrusswurm,positive
1836911713649586398,Thu Sep 19 23:59:38 +0000 2024,0,@elonmusk Trump promised to increase extraction use &amp; sale of fossil fuels calling climate change a hoax. Bye bye Shanghai,1836918100869935417,,elonmusk,en,,0,0,0,https://x.com/Ydawtr/status/1836918100869935417,1590258577,Ydawtr,positive
1836887995959628189,Thu Sep 19 23:59:32 +0000 2024,0,@Tim_Walz Gas? What about climate change?,1836918076744626309,,Tim_Walz,en,,0,0,0,https://x.com/denieselamonte/status/1836918076744626309,1595087532365971456,denieselamonte,neutral
1836918011514560715,Thu Sep 19 23:59:16 +0000 2024,0,Victor Reacts: Kamala s Greatest Achievement is a Failure (VIDEO) &amp;&amp;[Reported by Umva mag] https://t.co/05QZ2ykHEh #US #Newyork #Kansas #Russia #Ukraine #news #breakingnews #worldnews #politics #usnews #covid19 #coronavirus #vaccine #climatechange #election2024,1836918011514560715,,,en,World,0,0,0,https://x.com/ikigeninews/status/1836918011514560715,1268680824779661312,ikigeninews,positive
1836917929893318905,Thu Sep 19 23:58:57 +0000 2024,0,It's past time to #MakePollutersPay. For years Big Polluters have covered up the truth that fossil fuels are causing climate change but now we have the chance to hold them accountable. I signed @EvergreenAction's petition and hope you will too! https://t.co/dEorCAsix2,1836917929893318905,,,en,"Langley, Texas",0,0,0,https://x.com/GreenwindBlue/status/1836917929893318905,1202953147,GreenwindBlue,positive
1836533936681324551,Thu Sep 19 23:58:03 +0000 2024,0,@WUTangKids Musk-a soon to be trillionaire is paranoid his untaxed US resource cash cow in subsidies +tax breaks ends with Harris. Talk about Trump's US wealth fund for Musk+US taxpayers exploited by Musk for national resources to Mars+ask for climate change resources+ Trump calls it a hoax.,1836917705716420844,,WUTangKids,en,"Anchorage, AK",0,0,0,https://x.com/manzanarezrobin/status/1836917705716420844,1497283392223604741,manzanarezrobin,negative
1836911713649586398,Thu Sep 19 23:58:03 +0000 2024,0,@elonmusk Quick reminder: #ElonMusk is a hero for helping slow down human caused #ClimateChange seeking to educate people on how real &amp; serious it is. But @realDonaldTrump is a #ClimateDenier always seeking to spread #FakeNews protecting greedy #FossilFuel interests before human lives! https://t.co/4mECUou3bV,1836917703807770760,https://pbs.twimg.com/media/GX4K6soWAAE9-LZ.jpg,elonmusk,en,Sheffield,0,0,0,https://x.com/timlongson/status/1836917703807770760,496270037,timlongson,positive
1836917675139944738,Thu Sep 19 23:57:56 +0000 2024,0,What is the Trees Program? Henry Social s Trees Program is a sustainability initiative where for every purchase made or special event hosted they contribute to planting trees. This ensures that their business gives back to nature and helps combat climate change. ,1836917675139944738,,,en,,0,0,0,https://x.com/tummakitja1391/status/1836917675139944738,1684009206926704640,tummakitja1391,positive
1836917630172606732,Thu Sep 19 23:57:45 +0000 2024,0,Lol ....If Venus just would have just passed the quadrillion dollar Green New deal they could have saved Venus from climate change..... ,1836917630172606732,,,en,St Pete  FL,0,0,0,https://x.com/mcrichierich/status/1836917630172606732,171480614,mcrichierich,positive
1836911713649586398,Thu Sep 19 23:57:38 +0000 2024,1,@elonmusk #BreakingNews : Shanghai was hit by a blatant typhoon! Who says climate change? https://t.co/D6eLvGSY0d,1836917598572687660,https://pbs.twimg.com/amplify_video_thumb/1836917526279647232/img/GEuMKq4s9ikfyNHm.jpg,elonmusk,en,"Weltbürger, Earth",0,1,0,https://x.com/bozwy/status/1836917598572687660,707366117,bozwy,neutral
1836825078991892985,Thu Sep 19 23:57:29 +0000 2024,0,@Acyn Just like Im tired about hearing about climate change from a bar tender .,1836917563076276343,,Acyn,en,"Wadsworth, OH",0,0,0,https://x.com/JWMyers_330/status/1836917563076276343,595743537,JWMyers_330,negative
1836917558542488017,Thu Sep 19 23:57:28 +0000 2024,0,But climate change is a hoax right ?,1836917558542488017,,,en,Spaceship Earth,0,0,0,https://x.com/barsoomfilms/status/1836917558542488017,231730478,barsoomfilms,negative
1836917492565856332,Thu Sep 19 23:57:13 +0000 2024,0,Climate change is real. Cue the denial and magical thinkers who pretend they hold a mental PhD cus they saw a YouTube video of a guy who claims he has a PhD so now according to the rule of magic. They now hold a PhD and know all the things. And go! (Post below magical ones),1836917492565856332,,,en,,0,0,0,https://x.com/LongUniversal/status/1836917492565856332,1057607240398659584,LongUniversal,negative
1836917491366514750,Thu Sep 19 23:57:12 +0000 2024,77,Climate change is weird. Summer is coming. I'm out in the snow again in AF1. #SneakerHead https://t.co/W8QKxplqs6,1836917491366514750,https://pbs.twimg.com/media/GX4Kq-haUAEf4Qe.jpg,,en,"Auckland, New Zealand",0,1,7,https://x.com/JoshSneaker/status/1836917491366514750,297310751,JoshSneaker,negative
1836911713649586398,Thu Sep 19 23:57:06 +0000 2024,1,@elonmusk Climate change is real. Cue the denial and magical thinkers who pretend they hold a mental PhD cus they saw a YouTube video of a guy who claims he has a PhD so now according to the rule of magic. They now hold a PhD and know all the things. And go! (Post below magical ones),1836917463558058089,,elonmusk,en,,0,0,0,https://x.com/LongUniversal/status/1836917463558058089,1057607240398659584,LongUniversal,negative
1836724962486329543,Thu Sep 19 23:56:59 +0000 2024,0,@wideawake_media It certainly wasn t humans that caused climate change on Venus .,1836917433854001471,,wideawake_media,en,"Toronto, Ontario",0,0,0,https://x.com/LucaBossCat/status/1836917433854001471,1836196228297633793,LucaBossCat,positive
1836917421292073135,Thu Sep 19 23:56:56 +0000 2024,1,breaking news urgent now and beyond future! save our education action now - save our loving Planet save our loving animal climate change impact action now! save our supreme court blue wave Party! @ Cease fire @ immigration act - healthcare aid now https://t.co/CmfC2utuwY,1836917421292073135,,,en,,0,0,1,https://x.com/LoanNgu02041197/status/1836917421292073135,1421597985046032386,LoanNgu02041197,positive
1836880773657547035,Thu Sep 19 23:56:44 +0000 2024,0,@SimonBanksHB This is a dead cat. Building nuclear during climate change is idiotic. Now move the fuck on!!,1836917370302148999,,SimonBanksHB,en,Australia Gunditjmarra country,0,0,0,https://x.com/dystopia72/status/1836917370302148999,1685463460413571072,dystopia72,negative
1836847049507229714,Thu Sep 19 23:56:24 +0000 2024,0,@mikefarnworthbc Ya sure. You hired traffic cops. Thats all I see is police on the side of the road trying to make money off people driving to work.,1836917289892843979,,mikefarnworthbc,en,"British Columbia, Canada",0,0,0,https://x.com/scubadang722/status/1836917289892843979,1539605531597209600,scubadang722,positive
1836814831120257502,Thu Sep 19 23:52:00 +0000 2024,0,@cspan @RepJasmine @BrendanCarrFCC The Biden-Harris Administration has left Americans waiting on the wrong side of the digital divide. Needlessly. So what has the gov been doing in those 977 days... Revoking a deal with Starlink ..... Pursuing a climate change agenda .... layering red tape https://t.co/jyi6X00mK3,1836916183251005944,https://pbs.twimg.com/media/GX4Jh7eXoAEDpnr.jpg,cspan,en,PARADISE ,0,0,0,https://x.com/TomAnderson8888/status/1836916183251005944,1834632788055924736,TomAnderson8888,negative
1836044014543331647,Thu Sep 19 23:51:59 +0000 2024,0,@susanmcgraw88 @KamalaForMI @MeidasTouch @Janefonda @TeamKamala @jimmykimmel good luck stopping climate change moron. it has only been happening for 6 billion or so years.,1836916177186046242,,susanmcgraw88,en,,0,0,0,https://x.com/KipK62353/status/1836916177186046242,1700241635236315136,KipK62353,positive
1836895046450250212,Thu Sep 19 23:51:59 +0000 2024,1,@Rad_onX They are all coming out of schools brainwashed by the climate change lie and the gender propaganda they then start off voting Greens as they get older they vote right wing except for Victoria where most will vote left for life.,1836916174959042747,,Rad_onX,en,Southern Victoria,0,0,0,https://x.com/eatzeee_bugs/status/1836916174959042747,1715892582113550336,eatzeee_bugs,negative
1836909888875672058,Thu Sep 19 23:51:41 +0000 2024,1,@goodfoodgal Let's have World Peace before Climate change - until that happens let's forget about the climate....,1836916100694692247,,goodfoodgal,en,Global ,0,0,0,https://x.com/justsay94731715/status/1836916100694692247,1421113641990967307,justsay94731715,positive
1836892319297175806,Thu Sep 19 23:51:32 +0000 2024,0,@johnmenadue um what has Biden-Harris done to mitigate climate change?,1836916064174645742,,johnmenadue,en,Andora,0,1,0,https://x.com/darebaer/status/1836916064174645742,29039455,darebaer,neutral
1836431042858631545,Thu Sep 19 23:51:16 +0000 2024,0,@dom155rich1 @MikeHudema It doesn t matter what starts the fire the point is that they burn hotter longer and faster due to climate change and that s caused by human beings dip shit,1836915997992755511,,dom155rich1,en,USA ,0,1,0,https://x.com/GuitarMan59LP/status/1836915997992755511,825818572131794944,GuitarMan59LP,negative
1836903133760409960,Thu Sep 19 23:51:01 +0000 2024,1,@FLVoiceNews If Trump wins expect death either by execution or by the next pandemic. Trump distains science. He denies climate change. He denies medical science and medical evidence. He will staff government with incompetent personnel and pandemics will prevail. Project 2025 makes this clear,1836915934654550401,,FLVoiceNews,en,,0,1,1,https://x.com/HaackJoe330/status/1836915934654550401,1711917415116779521,HaackJoe330,negative
1836865402460082527,Thu Sep 19 23:51:01 +0000 2024,0,@redpillb0t A chosen group of people try to crash mostly of 7Billion humans by their agendas climate change war on terrorism pandemics communism democracy etc the same time their companies devouring (air - land- water).,1836915932632956955,,redpillb0t,en,,0,0,0,https://x.com/ram0o0s/status/1836915932632956955,201118721,ram0o0s,negative
1836911713649586398,Thu Sep 19 23:50:53 +0000 2024,0,@elonmusk It s Crazy . Republicans STILL don t believe in Global Warming. Please Vote Democrat to SAVE THE FUTURE for your Grandkids. #ClimateChange #GlobalWarming #RepublicansStillDontBelieveInGlobalWarming #RepublicansOwnGlobalWarming,1836915898491490598,,elonmusk,en,US,0,0,0,https://x.com/DrewMtnBike/status/1836915898491490598,1461057140,DrewMtnBike,positive
1836735295980486714,Thu Sep 19 23:50:45 +0000 2024,0,@wideawake_media Europe is literally drowning right now because of climate change yet here you are posting bullshit based on things you do not even comprehend.,1836915866815840351,,wideawake_media,en,,0,0,0,https://x.com/Kompatybilijny/status/1836915866815840351,1530169193659871232,Kompatybilijny,negative
1836915831114010949,Thu Sep 19 23:50:37 +0000 2024,1,This level of ignorance reminds me of the time another republican Jim Inhofe brought in a snowball to congress claiming this was proof climate change didn t exist. Dan Crenshaw should know by now that solar technology uses solar thermal collectors when the sun isn t shining.,1836915831114010949,,,en,U.S.A,1,0,0,https://x.com/OutLawMe/status/1836915831114010949,49105551,OutLawMe,negative
1836912204035088389,Thu Sep 19 23:50:19 +0000 2024,0,@danrgraber @briantylercohen @mcuban U mean from the goddess of the big government church? Climate change bible Harris?,1836915757369921893,,danrgraber,en,"Miami, FL",0,0,1,https://x.com/Riccardodanger1/status/1836915757369921893,1742689041718362112,Riccardodanger1,neutral
1836855547557016035,Thu Sep 19 23:50:07 +0000 2024,1,@BabakTaghvaee1 Oh no David ! Look the climate changes it s hotter now bad bad Israelis @DavidLammy,1836915708724195810,,BabakTaghvaee1,en,,0,0,0,https://x.com/Demi40Stephen/status/1836915708724195810,1112217007154442241,Demi40Stephen,negative
1836822325028954141,Thu Sep 19 23:49:48 +0000 2024,1,@jeffcosheriffco You leftist dumbasses have no idea you invited thousands of commies to your state who are engaged in ecological terrorism. ANTIFA is behind your forest fires which have increased drastically in last 20 years and its not fucking climate change. Soros DA---get what you deserve,1836915628688507114,,jeffcosheriffco,en,United States,0,0,1,https://x.com/JPendleton76/status/1836915628688507114,1729491528131706880,JPendleton76,negative
1836915584023363695,Thu Sep 19 23:49:38 +0000 2024,0,Any ton of CO2 that plants assimilate and that is subsequently sequestered in soil has been removed directly from the atmosphere and will thus help to mitigate climate change. #SaveSoil #SoilforClimateAction #SaveSoilFixClimateChange,1836915584023363695,,,en,,0,0,0,https://x.com/AmritaSurya2010/status/1836915584023363695,43395499,AmritaSurya2010,positive
1836869693002682611,Thu Sep 19 23:49:17 +0000 2024,6,@wokal_distance Just remember they don't really care about any of this stuff they push it to DIVIDE us and piss us OFF. Just like they don't believe in Man Made Climate change ....or covid. All the global elite know these are all just SCAMS to control Humanity. Don't let them piss you off ,1836915498342306107,,wokal_distance,en,Upper Mitten,0,2,0,https://x.com/GrandSolarMini/status/1836915498342306107,1487083265269846017,GrandSolarMini,negative
1836912422340186261,Thu Sep 19 23:49:00 +0000 2024,5,@LauraFriedmanCA What threats from climate change and biodiversity loss are we currently facing here in California? Can you name them please? I can t think of any,1836915425206226981,,LauraFriedmanCA,en,Commiefornia,0,0,0,https://x.com/DkALLLDay/status/1836915425206226981,1009682450,DkALLLDay,negative
1836915374362632348,Thu Sep 19 23:48:48 +0000 2024,0,We have something to do with dirty local air and dirty water systems for sure but we have nothing to do with global climate change. The evidence is clear. The only problem is that a giant multi-trillion dollar industry has been made out of a lie and they can t let it die.,1836915374362632348,,,en,,0,0,0,https://x.com/markrenier4/status/1836915374362632348,4891467693,markrenier4,negative
1836907724266688768,Thu Sep 19 23:48:30 +0000 2024,1,@Diane_Jackson7 Wow. Hot there! Must be the pole shift (the real Climate Change),1836915300270493931,,Diane_Jackson7,en,California,0,0,0,https://x.com/Beyond_Science/status/1836915300270493931,303909647,Beyond_Science,positive
1836912775530172714,Thu Sep 19 23:48:25 +0000 2024,7,@BazzaCC I'm starting not to care. Actually I'll be dead by then and my kids will be on their way and I have no grandchildren. It sounds selfish but when you see what Israel gets away with and you see idiots like Dutton ignore climate change Trump Putin...I can't see any reason to care.,1836915280297218289,,BazzaCC,en, Queensland Kabi Kabi,0,4,0,https://x.com/Mcali4/status/1836915280297218289,382572073,Mcali4,negative
1836915279735243047,Thu Sep 19 23:48:25 +0000 2024,1,Finally we are getting some good weather Go to love climate change,1836915279735243047,,,en,,0,0,0,https://x.com/PauaSlack78632/status/1836915279735243047,1800145569333276672,PauaSlack78632,positive
1836823578831962491,Thu Sep 19 23:48:24 +0000 2024,0,@orthonormalist @Recursion_Agent I believe communism is cool but it is a bit too right wing for me. I would support acceleration of climate change but I don't want to be too progressive with it.,1836915273611288859,,orthonormalist,en,Brunei,0,1,0,https://x.com/AoE_Villager/status/1836915273611288859,940709074114621440,AoE_Villager,positive
1836748878588035575,Thu Sep 19 23:48:16 +0000 2024,0,@wideawake_media Fuck off soy boy your climate change shit is a lie,1836915240023511060,,wideawake_media,en,Australia,0,0,0,https://x.com/vicprisonstate/status/1836915240023511060,1300055642971881474,vicprisonstate,negative
1836912451771617425,Thu Sep 19 23:47:21 +0000 2024,0,@billyweather @WGNNews @WGNMorningNews @AlyssaDonovanTV @NWSChicago @ILClimatologist Sorry you didn t get all the hurricanes you were hoping for this year. Human caused climate change is a scam.,1836915009164595527,,billyweather,en,United States of Libtards,0,0,0,https://x.com/Twit_er808/status/1836915009164595527,235924730,Twit_er808,negative
1836909900741435785,Thu Sep 19 23:47:10 +0000 2024,53,@CreekPete2 Kate Harrison once claimed on @PnPCBC that her family don't get a Climate Change Rebate because she makes too much money or that Trudeau ordered the CRA not to send them to Conservatives. She is such a LIAR she can't even lie without sounding ridiculous. ,1836914964461650119,,CreekPete2,en,Hiding in Plain Sight in GTA,0,4,18,https://x.com/Paul_D_Heaslip/status/1836914964461650119,431886204,Paul_D_Heaslip,negative
1836911713649586398,Thu Sep 19 23:47:04 +0000 2024,1,@elonmusk Can our Countries stop fucking around with seeding clouds and making them a Climate Change issue Please.,1836914940310941802,,elonmusk,en,"Tallmadge, OH",0,0,0,https://x.com/TyHunsicker/status/1836914940310941802,1511547689707708419,TyHunsicker,neutral
1836333477903388712,Thu Sep 19 23:46:45 +0000 2024,0,@elonmusk Using religion to manipulate the uneducated. You really have gone full Republican. When do you start calling climate change a hoax?,1836914861466415469,,elonmusk,en,,0,0,0,https://x.com/kv0th3_kk/status/1836914861466415469,1833126745643302914,kv0th3_kk,negative
